
Epoch 0, Train Accuracy: 0.34814006090164185 , TrainLoss: 1.6003751330936633 , Test Accuracy: 0.44083070755004883 , TestLoss: 0.5770240344531952


Epoch 1, Train Accuracy: 0.4386598467826843 , TrainLoss: 1.4101009889016956 , Test Accuracy: 0.5123432278633118 , TestLoss: 0.551427027892682


Epoch 2, Train Accuracy: 0.4928205609321594 , TrainLoss: 1.3130595427144434 , Test Accuracy: 0.5162617564201355 , TestLoss: 0.5379121408663525


Epoch 3, Train Accuracy: 0.5126374959945679 , TrainLoss: 1.2688368999124204 , Test Accuracy: 0.5360501408576965 , TestLoss: 0.5255513501533664


Epoch 4, Train Accuracy: 0.526576578617096 , TrainLoss: 1.2379118494607508 , Test Accuracy: 0.5356582999229431 , TestLoss: 0.5243439145448155


Epoch 5, Train Accuracy: 0.537408709526062 , TrainLoss: 1.2015908084655251 , Test Accuracy: 0.5438871383666992 , TestLoss: 0.5268896419862444


Epoch 6, Train Accuracy: 0.5483248233795166 , TrainLoss: 1.1823717432805279 , Test Accuracy: 0.537617564201355 , TestLoss: 0.5245142704554234


Epoch 7, Train Accuracy: 0.5581493377685547 , TrainLoss: 1.15622175549648 , Test Accuracy: 0.5321316719055176 , TestLoss: 0.5248795931440765


Epoch 8, Train Accuracy: 0.5757830142974854 , TrainLoss: 1.1193162346428773 , Test Accuracy: 0.5454545617103577 , TestLoss: 0.5142142550251988


Epoch 9, Train Accuracy: 0.582920491695404 , TrainLoss: 1.1080950458040364 , Test Accuracy: 0.5372256636619568 , TestLoss: 0.5152800485763275


Epoch 10, Train Accuracy: 0.5872029662132263 , TrainLoss: 1.0986841268889378 , Test Accuracy: 0.5554466843605042 , TestLoss: 0.5167564442059848


Epoch 11, Train Accuracy: 0.5869510769844055 , TrainLoss: 1.0969567751341918 , Test Accuracy: 0.5542711615562439 , TestLoss: 0.5173001402681066


Epoch 12, Train Accuracy: 0.6043328642845154 , TrainLoss: 1.064542325220277 , Test Accuracy: 0.5570141077041626 , TestLoss: 0.5063567370168808


Epoch 13, Train Accuracy: 0.6096230149269104 , TrainLoss: 1.058114765903413 , Test Accuracy: 0.5662225484848022 , TestLoss: 0.5099780188168174


Epoch 14, Train Accuracy: 0.6030732989311218 , TrainLoss: 1.061513820801827 , Test Accuracy: 0.565047025680542 , TestLoss: 0.5069571432673728


Epoch 15, Train Accuracy: 0.6090351939201355 , TrainLoss: 1.0413913295174717 , Test Accuracy: 0.5593652129173279 , TestLoss: 0.5199259955713457


Epoch 16, Train Accuracy: 0.6171802878379822 , TrainLoss: 1.0322933040264621 , Test Accuracy: 0.5605407357215881 , TestLoss: 0.5079257190552834


Epoch 17, Train Accuracy: 0.6194474697113037 , TrainLoss: 1.029577144573273 , Test Accuracy: 0.5544670820236206 , TestLoss: 0.5097917711637675


Epoch 18, Train Accuracy: 0.6275086402893066 , TrainLoss: 1.005710809414388 , Test Accuracy: 0.5507444739341736 , TestLoss: 0.5161099708974186


Epoch 19, Train Accuracy: 0.635317862033844 , TrainLoss: 0.9936980207377412 , Test Accuracy: 0.5511363744735718 , TestLoss: 0.5175456726858363


